"alias","name","Organism Taxon Id","represents","selected","shared name","type"
"A-328A3.2|KID|KNSL4|OBP|OBP-1|OBP-2|SEMDJL2","KIF22","9606","ncbigene:3835","false","KIF22","protein"
"HA-8|HLA-HA8|PEN|PUF6|XTP5|hPUF-A","KIAA0020","9606","ncbigene:9933","false","KIAA0020","protein"
"HP1-BP74|HP1BP74","HP1BP3","9606","ncbigene:50809","false","HP1BP3","protein"
"CEAR|HNRNPM4|HNRPM|HNRPM4|HTGR1|NAGR1|hnRNP M","HNRNPM","9606","ncbigene:4670","false","HNRNPM","protein"
"HNRPH|HNRPH1|hnRNPH","HNRNPH1","9606","ncbigene:3187","false","HNRNPH1","protein"
"HNRPF|OK/SW-cl.23|mcs94-1","HNRNPF","9606","ncbigene:3185","false","HNRNPF","protein"
"AUF1|AUF1A|HNRPD|P37|hnRNPD0","HNRNPD","9606","ncbigene:3184","false","HNRNPD","protein"
"HIP116|HIP116A|HLTF1|RNF80|SMARCA3|SNF2L3|ZBU1","HLTF","9606","ncbigene:6596","false","HLTF","protein"
"CRFG|NGB|NOG1","GTPBP4","9606","ncbigene:23560","false","GTPBP4","protein"
"KAT12|TFIII90|TFIIIC290|TFIIIC90|TFIIICDELTA","GTF3C4","9606","ncbigene:9329","false","GTF3C4","protein"
"C77032|E2IG3|NNP47|NS","GNL3","9606","ncbigene:26354","false","GNL3","protein"
"Gnb2-rs1|H12.3|HLC-7|PIG21|RACK1","GNB2L1","9606","ncbigene:10399","false","GNB2L1","protein"
"HIMAP1|IAN2|IMAP1|IMAP38","GIMAP1","9606","ncbigene:170575","false","GIMAP1","protein"
"GCN1|GCN1L|PRIC295","GCN1L1","9606","ncbigene:10985","false","GCN1L1","protein"
"p66alpha","GATAD2A","9606","ncbigene:54815","false","GATAD2A","protein"
"FIB|FLRN|RNU3IP1","FBL","9606","ncbigene:2091","false","FBL","protein"
"COFS2|EM9|TFIIH|TTD|XPD","ERCC2","9606","ncbigene:2068","false","ERCC2","protein"
"EDMD|LEMD5|STA","EMD","9606","ncbigene:2010","false","EMD","protein"
"EIF3S5|eIF3-p47","EIF3F","9606","ncbigene:8665","false","EIF3F","protein"
"EIF3-P48|EIF3S6|INT6|eIF3-p46","EIF3E","9606","ncbigene:3646","false","EIF3E","protein"
"EIF3-ETA|EIF3-P110|EIF3-P116|EIF3S9|PRT1","EIF3B","9606","ncbigene:8662","false","EIF3B","protein"
"EIF3|EIF3S10|P167|TIF32|eIF3-p170|eIF3-theta|p180|p185","EIF3A","9606","ncbigene:8661","false","EIF3A","protein"
"EF-1D|EF1D|FP1047","EEF1D","9606","ncbigene:1936","false","EEF1D","protein"
"CCS-3|CCS3|EE1A1|EEF-1|EEF1A|EF-Tu|EF1A|GRAF-1EF|HNGC:16303|LENG7|PTI1|eEF1A-1","EEF1A1","9606","ncbigene:1915","false","EEF1A1","protein"
"GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8","EDC4","9606","ncbigene:23644","false","EDC4","protein"
"DNCLI1|LIC1","DYNC1LI1","9606","ncbigene:51143","false","DYNC1LI1","protein"
"REQ|UBID4|ubi-d4","DPF2","9606","ncbigene:5977","false","DPF2","protein"
"ERBP|FCF2|HSU15552|LPTS-RP2|TdIF2","DNTTIP2","9606","ncbigene:30836","false","DNTTIP2","protein"
"DIM1|DIMT1L|HSA9761|HUSSY5","DIMT1","9606","ncbigene:27292","false","DIMT1","protein"
"DDX30|RETCOR","DHX30","9606","ncbigene:22907","false","DHX30","protein"
"DBP1|DDX15|HRH2|PRP43|PRPF43|PrPp43p","DHX15","9606","ncbigene:1665","false","DHX15","protein"
,"DDX24","9606","ncbigene:57062","false","DDX24","protein"
"GUA|GURDB|RH-II/GU|RH-II/GuA","DDX21","9606","ncbigene:9188","false","DDX21","protein"
"DBP5|DDX19|RNAh","DDX19B","9606","ncbigene:11269","false","DDX19B","protein"
"MrDb","DDX18","9606","ncbigene:8886","false","DDX18","protein"
"G17P1|HLR1|HUMP68|p68","DDX5","9606","ncbigene:1655","false","DDX5","protein"
"CAP-Rf|DBX|DDX14|DDX3|HLP2","DDX3X","9606","ncbigene:1654","false","DDX3X","protein"
"DAP-3|MRP-S29|MRPS29|bMRP-10","DAP3","9606","ncbigene:7818","false","DAP3","protein"
"AUTS18|HELSNF1","CHD8","9606","ncbigene:57680","false","CHD8","protein"
"CDC2|CDC28A|P34CDC2","CDK1","9606","ncbigene:983","false","CDK1","protein"
"JPO2|R1|RAM2","CDCA7L","9606","ncbigene:55536","false","CDCA7L","protein"
"JPO1","CDCA7","9606","ncbigene:83879","false","CDCA7","protein"
"CDC5|CDC5-LIKE|CEF1|PCDC5RP|dJ319D22.1","CDC5L","9606","ncbigene:988","false","CDC5L","protein"
"HsT17299","CCNB2","9606","ncbigene:9133","false","CCNB2","protein"
"TIP120|TIP120A","CAND1","9606","ncbigene:55832","false","CAND1","protein"
"GC1QBP|HABP1|SF2p32|gC1Q-R|gC1qR|p32","C1QBP","9606","ncbigene:708","false","C1QBP","protein"
"MST017|MSTP017","BZW2","9606","ncbigene:28969","false","BZW2","protein"
"MOT1|TAF(II)170|TAF172|TAFII170","BTAF1","9606","ncbigene:9044","false","BTAF1","protein"
